episode,title,rating,votes
5.2,Jurassic Bark,8.9,"1,654"
3.5,Amazon Women in the Mood,8.9,779
3.10,The Luck of the Fryrish,8.9,"1,225"
6.7,The Late Philip J. Fry,8.9,"1,065"
5.16,The Devil's Hands Are Idle Playthings,8.8,"1,092"
5.9,The Sting,8.7,943
4.5,Leela's Homeworld,8.7,669
6.6,Lethal Inspection,8.7,712
1.4,Love's Labours Lost in Space,8.6,795
1.6,A Fishful of Dollars,8.6,767
2.13,A Bicyclops Built for Two,8.5,669
5.8,The Why of Fry,8.4,646
2.9,Why Must I Be a Crustacean in Love?,8.4,690
2.14,How Hermes Requisitioned His Groove Back,8.4,649
2.8,Xmas Story,8.3,744
2.6,"Brannigan, Begin Again",8.3,679
5.4,A Taste of Freedom,8.3,567
1.7,My Three Suns,8.2,747
1.1,Space Pilot 3000,8.1,"1,075"
7.7,The Six Million Dollar Mon,8.0,349
4.1,Roswell That Ends Well,8.0,938
7.26,Meanwhile,8.0,729
3.2,War Is the H-Word,8.0,810
5.5,Kif Gets Knocked Up a Notch,8.0,590
3.7,The Day the Earth Stood Stupid,8.0,667
3.4,Parasites Lost,8.0,773
5.10,The Farnsworth Parabox,7.9,735
4.8,Godfellas,7.9,931
2.20,Anthology of Interest I,7.9,740
1.3,"I, Roommate",7.9,846
2.18,The Problem with Popplers,7.9,705
2.4,Fry and the Slurm Factory,7.9,790
6.3,Attack of the Killer App,7.9,723
2.1,A Flight to Remember,7.9,826
1.2,The Series Has Landed,7.8,851
7.24,Murder on the Planet Express,7.8,292
2.3,When Aliens Attack,7.8,734
4.3,Anthology of Interest II,7.8,653
1.8,A Big Piece of Garbage,7.8,763
5.12,Spanish Fry,7.8,600
3.12,Insane in the Mainframe,7.8,652
7.15,Fry and Leela's Big Fling,7.7,282
1.9,Hell Is Other Robots,7.7,789
5.7,Teenage Mutant Leela's Hurdles,7.7,598
4.12,Where No Fan Has Gone Before,7.7,784
1.5,Fear of a Bot Planet,7.7,746
5.11,Three Hundred Big Boys,7.7,617
4.2,A Tale of Two Santas,7.7,623
6.10,The Prisoner of Benda,7.7,586
3.14,Time Keeps on Slipping,7.6,683
4.11,30% Iron Chef,7.6,573
2.2,Mars University,7.6,743
2.19,Mother's Day,7.5,634
2.16,The Deep South,7.5,675
5.1,Crimes of the Hot,7.5,566
6.1,Rebirth,7.4,778
2.7,A Head in the Polls,7.4,682
2.5,I Second That Emotion,7.4,679
4.6,Where the Buggalo Roam,7.4,588
3.11,The Cyber House Rules,7.3,591
6.17,Law and Oracle,7.3,478
4.4,Love and Rocket,7.3,625
2.12,Raging Bender,7.3,640
2.17,Bender Gets Made,7.2,622
4.9,Future Stock,7.2,591
3.15,I Dated a Robot,7.2,615
5.14,Obsoletely Fabulous,7.2,596
2.15,A Clone of My Own,7.2,628
6.26,Reincarnation,7.2,531
5.6,Less Than Hero,7.2,586
2.10,Put Your Head on My Shoulders,7.2,641
4.7,A Pharaoh to Remember,7.2,608
6.9,A Clockwork Origin,7.2,565
6.25,Overclockwise,7.1,425
7.1,The Bots and the Bees,7.1,524
3.3,The Cryonic Woman,7.1,631
2.11,The Lesser of Two Evils,7.1,637
7.23,Game of Tones,7.1,369
6.14,Neutopia,7.0,527
6.4,Proposition Infinity,7.0,599
6.23,The Tip of the Zoidberg,7.0,422
6.12,The Mutants Are Revolting,7.0,478
5.3,The Route of All Evil,7.0,562
5.15,Bender Should Not Be Allowed on TV,7.0,587
3.8,That's Lobstertainment!,7.0,617
6.11,Lrrreconcilable Ndndifferences,6.9,497
3.1,The Honking,6.9,631
7.2,A Farewell to Arms,6.9,398
6.18,The Silence of the Clamps,6.9,428
6.24,Cold Warriors,6.9,410
6.21,Möbius Dick,6.9,418
3.9,The Birdbot of Ice-Catraz,6.9,595
6.2,In-A-Gadda-Da-Leela,6.9,694
6.8,That Darn Katz!,6.9,561
6.16,Ghost in the Machines,6.9,433
3.13,Bendin' in the Wind,6.9,609
7.25,Stench and Stenchibility,6.9,297
7.3,Decision 3012,6.9,393
7.10,Near-Death Wish,6.9,336
6.20,All the Presidents' Heads,6.9,404
7.8,Fun on a Bun,6.9,361
7.11,Viva Mars Vegas,6.9,319
4.10,A Leela of Her Own,6.8,586
7.9,Free Will Hunting,6.8,340
6.22,Fry Am the Egg Man,6.8,385
7.6,The Butterjunk Effect,6.8,349
7.22,Leela and the Genestalk,6.8,265
7.14,2-D Blacktop,6.8,303
7.16,T.: The Terrestrial,6.8,285
7.5,Zapp Dingbat,6.7,354
5.13,Bend Her,6.7,579
7.12,31st Century Fox,6.7,321
3.6,Bendless Love,6.7,590
6.15,Benderama,6.7,481
7.13,Naturama,6.7,391
7.19,Saturday Morning Fun Pit,6.6,359
6.19,Yo Leela Leela,6.6,428
7.4,The Thief of Baghead,6.6,359
6.13,The Futurama Holiday Spectacular,6.5,508
6.5,The Duh-Vinci Code,6.5,609
7.20,Calculon 2.0,6.3,275
7.18,The Inhuman Torch,6.3,279
7.21,Assie Come Home,6.3,268
7.17,Forty Percent Leadbelly,6.1,280
