"country.name","year","ccode","gdp_gk_1990","population"
"Afghanistan",1820,700,NA,NA
"Afghanistan",1821,700,NA,NA
"Afghanistan",1822,700,NA,NA
"Afghanistan",1823,700,NA,NA
"Afghanistan",1824,700,NA,NA
"Afghanistan",1825,700,NA,NA
"Afghanistan",1826,700,NA,NA
"Afghanistan",1827,700,NA,NA
"Afghanistan",1828,700,NA,NA
"Afghanistan",1829,700,NA,NA
"Afghanistan",1830,700,NA,NA
"Afghanistan",1831,700,NA,NA
"Afghanistan",1832,700,NA,NA
"Afghanistan",1833,700,NA,NA
"Afghanistan",1834,700,NA,NA
"Afghanistan",1835,700,NA,NA
"Afghanistan",1836,700,NA,NA
"Afghanistan",1837,700,NA,NA
"Afghanistan",1838,700,NA,NA
"Afghanistan",1839,700,NA,NA
"Afghanistan",1840,700,NA,NA
"Afghanistan",1841,700,NA,NA
"Afghanistan",1842,700,NA,NA
"Afghanistan",1843,700,NA,NA
"Afghanistan",1844,700,NA,NA
"Afghanistan",1845,700,NA,NA
"Afghanistan",1846,700,NA,NA
"Afghanistan",1847,700,NA,NA
"Afghanistan",1848,700,NA,NA
"Afghanistan",1849,700,NA,NA
"Afghanistan",1850,700,NA,NA
"Afghanistan",1851,700,NA,NA
"Afghanistan",1852,700,NA,NA
"Afghanistan",1853,700,NA,NA
"Afghanistan",1854,700,NA,NA
"Afghanistan",1855,700,NA,NA
"Afghanistan",1856,700,NA,NA
"Afghanistan",1857,700,NA,NA
"Afghanistan",1858,700,NA,NA
"Afghanistan",1859,700,NA,NA
"Afghanistan",1860,700,NA,NA
"Afghanistan",1861,700,NA,NA
"Afghanistan",1862,700,NA,NA
"Afghanistan",1863,700,NA,NA
"Afghanistan",1864,700,NA,NA
"Afghanistan",1865,700,NA,NA
"Afghanistan",1866,700,NA,NA
"Afghanistan",1867,700,NA,NA
"Afghanistan",1868,700,NA,NA
"Afghanistan",1869,700,NA,NA
"Afghanistan",1870,700,NA,NA
"Afghanistan",1871,700,NA,NA
"Afghanistan",1872,700,NA,NA
"Afghanistan",1873,700,NA,NA
"Afghanistan",1874,700,NA,NA
"Afghanistan",1875,700,NA,NA
"Afghanistan",1876,700,NA,NA
"Afghanistan",1877,700,NA,NA
"Afghanistan",1878,700,NA,NA
"Afghanistan",1879,700,NA,NA
"Afghanistan",1880,700,NA,NA
"Afghanistan",1881,700,NA,NA
"Afghanistan",1882,700,NA,NA
"Afghanistan",1883,700,NA,NA
"Afghanistan",1884,700,NA,NA
"Afghanistan",1885,700,NA,NA
"Afghanistan",1886,700,NA,NA
"Afghanistan",1887,700,NA,NA
"Afghanistan",1888,700,NA,NA
"Afghanistan",1889,700,NA,NA
"Afghanistan",1890,700,NA,NA
"Afghanistan",1891,700,NA,NA
"Afghanistan",1892,700,NA,NA
"Afghanistan",1893,700,NA,NA
"Afghanistan",1894,700,NA,NA
"Afghanistan",1895,700,NA,NA
"Afghanistan",1896,700,NA,NA
"Afghanistan",1897,700,NA,NA
"Afghanistan",1898,700,NA,NA
"Afghanistan",1899,700,NA,NA
"Afghanistan",1900,700,NA,NA
"Afghanistan",1901,700,NA,NA
"Afghanistan",1902,700,NA,NA
"Afghanistan",1903,700,NA,NA
"Afghanistan",1904,700,NA,NA
"Afghanistan",1905,700,NA,NA
"Afghanistan",1906,700,NA,NA
"Afghanistan",1907,700,NA,NA
"Afghanistan",1908,700,NA,NA
"Afghanistan",1909,700,NA,NA
"Afghanistan",1910,700,NA,NA
"Afghanistan",1911,700,NA,NA
"Afghanistan",1912,700,NA,NA
"Afghanistan",1913,700,NA,NA
"Afghanistan",1914,700,NA,NA
"Afghanistan",1915,700,NA,NA
"Afghanistan",1916,700,NA,NA
"Afghanistan",1917,700,NA,NA
"Afghanistan",1918,700,NA,NA
"Afghanistan",1919,700,NA,NA
"Afghanistan",1920,700,NA,NA
"Afghanistan",1921,700,NA,NA
"Afghanistan",1922,700,NA,NA
"Afghanistan",1923,700,NA,NA
"Afghanistan",1924,700,NA,NA
"Afghanistan",1925,700,NA,NA
"Afghanistan",1926,700,NA,NA
"Afghanistan",1927,700,NA,NA
"Afghanistan",1928,700,NA,NA
"Afghanistan",1929,700,NA,NA
"Afghanistan",1930,700,NA,NA
"Afghanistan",1931,700,NA,NA
"Afghanistan",1932,700,NA,NA
"Afghanistan",1933,700,NA,NA
"Afghanistan",1934,700,NA,NA
"Afghanistan",1935,700,NA,NA
"Afghanistan",1936,700,NA,NA
"Afghanistan",1937,700,NA,NA
"Afghanistan",1938,700,NA,NA
"Afghanistan",1939,700,NA,NA
"Afghanistan",1940,700,NA,NA
"Afghanistan",1941,700,NA,NA
"Afghanistan",1942,700,NA,NA
"Afghanistan",1943,700,NA,NA
"Afghanistan",1944,700,NA,NA
"Afghanistan",1945,700,NA,NA
"Afghanistan",1946,700,NA,NA
"Afghanistan",1947,700,NA,NA
"Afghanistan",1948,700,NA,NA
"Afghanistan",1949,700,NA,NA
"Afghanistan",1950,700,NA,NA
"Afghanistan",1951,700,NA,NA
"Afghanistan",1952,700,NA,NA
"Afghanistan",1953,700,NA,NA
"Afghanistan",1954,700,NA,NA
"Afghanistan",1955,700,NA,NA
"Afghanistan",1956,700,NA,NA
"Afghanistan",1957,700,NA,NA
"Afghanistan",1958,700,NA,NA
"Afghanistan",1959,700,NA,NA
"Afghanistan",1960,700,NA,NA
"Afghanistan",1961,700,NA,NA
"Afghanistan",1962,700,NA,NA
"Afghanistan",1963,700,NA,NA
"Afghanistan",1964,700,NA,NA
"Afghanistan",1965,700,NA,NA
"Afghanistan",1966,700,NA,NA
"Afghanistan",1967,700,NA,NA
"Afghanistan",1968,700,NA,NA
"Afghanistan",1969,700,NA,NA
"Afghanistan",1970,700,NA,NA
"Afghanistan",1971,700,NA,NA
"Afghanistan",1972,700,NA,NA
"Afghanistan",1973,700,NA,NA
"Afghanistan",1974,700,NA,NA
"Afghanistan",1975,700,NA,NA
"Afghanistan",1976,700,NA,NA
"Afghanistan",1977,700,NA,NA
"Afghanistan",1978,700,NA,NA
"Afghanistan",1979,700,NA,NA
"Afghanistan",1980,700,NA,NA
"Afghanistan",1981,700,NA,NA
"Afghanistan",1982,700,NA,NA
"Afghanistan",1983,700,NA,NA
"Afghanistan",1984,700,NA,NA
"Afghanistan",1985,700,NA,NA
"Afghanistan",1986,700,NA,NA
"Afghanistan",1987,700,NA,NA
"Afghanistan",1988,700,NA,NA
"Afghanistan",1989,700,NA,NA
"Afghanistan",1990,700,NA,NA
"Afghanistan",1991,700,NA,NA
"Afghanistan",1992,700,NA,NA
"Afghanistan",1993,700,NA,NA
"Afghanistan",1994,700,NA,NA
"Afghanistan",1995,700,NA,NA
"Afghanistan",1996,700,NA,NA
"Afghanistan",1997,700,NA,NA
"Afghanistan",1998,700,NA,NA
"Afghanistan",1999,700,NA,NA
"Afghanistan",2000,700,NA,NA
"Afghanistan",2001,700,NA,NA
"Afghanistan",2002,700,NA,NA
"Afghanistan",2003,700,NA,NA
"Afghanistan",2004,700,NA,NA
"Afghanistan",2005,700,NA,NA
"Afghanistan",2006,700,NA,NA
"Afghanistan",2007,700,NA,NA
"Afghanistan",2008,700,NA,NA
"Albania",1820,339,NA,437
"Albania",1821,339,NA,NA
"Albania",1822,339,NA,NA
"Albania",1823,339,NA,NA
"Albania",1824,339,NA,NA
"Albania",1825,339,NA,NA
"Albania",1826,339,NA,NA
"Albania",1827,339,NA,NA
"Albania",1828,339,NA,NA
"Albania",1829,339,NA,NA
"Albania",1830,339,NA,NA
"Albania",1831,339,NA,NA
"Albania",1832,339,NA,NA
"Albania",1833,339,NA,NA
"Albania",1834,339,NA,NA
"Albania",1835,339,NA,NA
"Albania",1836,339,NA,NA
"Albania",1837,339,NA,NA
"Albania",1838,339,NA,NA
"Albania",1839,339,NA,NA
"Albania",1840,339,NA,NA
"Albania",1841,339,NA,NA
"Albania",1842,339,NA,NA
"Albania",1843,339,NA,NA
"Albania",1844,339,NA,NA
"Albania",1845,339,NA,NA
"Albania",1846,339,NA,NA
"Albania",1847,339,NA,NA
"Albania",1848,339,NA,NA
"Albania",1849,339,NA,NA
"Albania",1850,339,NA,500
"Albania",1851,339,NA,NA
