"year","country.name","gdppc_1990","ccode"
1,"AUSTRIA",NA,305
730,"AUSTRIA",NA,305
1000,"AUSTRIA",NA,305
1150,"AUSTRIA",NA,305
1280,"AUSTRIA",NA,305
1300,"AUSTRIA",NA,305
1348,"AUSTRIA",NA,305
1400,"AUSTRIA",NA,305
1450,"AUSTRIA",NA,305
1500,"AUSTRIA",NA,305
1550,"AUSTRIA",NA,305
1570,"AUSTRIA",NA,305
1600,"AUSTRIA",NA,305
1650,"AUSTRIA",NA,305
1700,"AUSTRIA",NA,305
1720,"AUSTRIA",NA,305
1750,"AUSTRIA",NA,305
1775,"AUSTRIA",NA,305
1800,"AUSTRIA",NA,305
1801,"AUSTRIA",NA,305
1802,"AUSTRIA",NA,305
1803,"AUSTRIA",NA,305
1804,"AUSTRIA",NA,305
1805,"AUSTRIA",NA,305
1806,"AUSTRIA",NA,305
1807,"AUSTRIA",NA,305
1808,"AUSTRIA",NA,305
1809,"AUSTRIA",NA,305
1810,"AUSTRIA",NA,305
1811,"AUSTRIA",NA,305
1812,"AUSTRIA",NA,305
1813,"AUSTRIA",NA,305
1814,"AUSTRIA",NA,305
1815,"AUSTRIA",NA,305
1816,"AUSTRIA",NA,305
1817,"AUSTRIA",NA,305
1818,"AUSTRIA",NA,305
1819,"AUSTRIA",NA,305
1820,"AUSTRIA",1218.16562778272,305
1821,"AUSTRIA",NA,305
1822,"AUSTRIA",NA,305
1823,"AUSTRIA",NA,305
1824,"AUSTRIA",NA,305
1825,"AUSTRIA",NA,305
1826,"AUSTRIA",NA,305
1827,"AUSTRIA",NA,305
1828,"AUSTRIA",NA,305
1829,"AUSTRIA",NA,305
1830,"AUSTRIA",1398.53024307518,305
1831,"AUSTRIA",NA,305
1832,"AUSTRIA",NA,305
1833,"AUSTRIA",NA,305
1834,"AUSTRIA",NA,305
1835,"AUSTRIA",NA,305
1836,"AUSTRIA",NA,305
1837,"AUSTRIA",NA,305
1838,"AUSTRIA",NA,305
1839,"AUSTRIA",NA,305
1840,"AUSTRIA",1514.53175457481,305
1841,"AUSTRIA",NA,305
1842,"AUSTRIA",NA,305
1843,"AUSTRIA",NA,305
1844,"AUSTRIA",NA,305
1845,"AUSTRIA",NA,305
1846,"AUSTRIA",NA,305
1847,"AUSTRIA",NA,305
1848,"AUSTRIA",NA,305
1849,"AUSTRIA",NA,305
1850,"AUSTRIA",1650.37974683544,305
1851,"AUSTRIA",NA,305
1852,"AUSTRIA",NA,305
1853,"AUSTRIA",NA,305
1854,"AUSTRIA",NA,305
1855,"AUSTRIA",NA,305
1856,"AUSTRIA",NA,305
1857,"AUSTRIA",NA,305
1858,"AUSTRIA",NA,305
1859,"AUSTRIA",NA,305
1860,"AUSTRIA",1777.5678866588,305
1861,"AUSTRIA",NA,305
1862,"AUSTRIA",NA,305
1863,"AUSTRIA",NA,305
1864,"AUSTRIA",NA,305
1865,"AUSTRIA",NA,305
1866,"AUSTRIA",NA,305
1867,"AUSTRIA",NA,305
1868,"AUSTRIA",NA,305
1869,"AUSTRIA",NA,305
1870,"AUSTRIA",1862.59048672566,305
1871,"AUSTRIA",1979.0957913196,305
1872,"AUSTRIA",1976.32232841008,305
1873,"AUSTRIA",1913.02819629789,305
1874,"AUSTRIA",1980.92918088737,305
1875,"AUSTRIA",1973.25539112051,305
1876,"AUSTRIA",2000.1167225482,305
1877,"AUSTRIA",2050.44049844237,305
1878,"AUSTRIA",2100.3057442866,305
1879,"AUSTRIA",2067.93876301286,305
1880,"AUSTRIA",2078.8378870674,305
1881,"AUSTRIA",2145.1667001003,305
1882,"AUSTRIA",2139.962027833,305
1883,"AUSTRIA",2208.78384236453,305
1884,"AUSTRIA",2248.47510251904,305
1885,"AUSTRIA",2215.2706155633,305
1886,"AUSTRIA",2267.70990023024,305
1887,"AUSTRIA",2404.43009320905,305
1888,"AUSTRIA",2379.15104657741,305
1889,"AUSTRIA",2337.20699326851,305
1890,"AUSTRIA",2443.35595105673,305
1891,"AUSTRIA",2506.14799853103,305
1892,"AUSTRIA",2535.12808866279,305
1893,"AUSTRIA",2525.10318173647,305
1894,"AUSTRIA",2644.59871931697,305
1895,"AUSTRIA",2687.78186619718,305
1896,"AUSTRIA",2701.01254573968,305
1897,"AUSTRIA",2730.15263884098,305
1898,"AUSTRIA",2855.28739754098,305
1899,"AUSTRIA",2886.27692307692,305
1900,"AUSTRIA",2881.80713209443,305
1901,"AUSTRIA",2863.85865782933,305
1902,"AUSTRIA",2945.31333005411,305
1903,"AUSTRIA",2940.88627514601,305
1904,"AUSTRIA",2955.85019267823,305
1905,"AUSTRIA",3089.77733630006,305
1906,"AUSTRIA",3176.23265691364,305
1907,"AUSTRIA",3338.14265690702,305
1908,"AUSTRIA",3319.66353122591,305
1909,"AUSTRIA",3275.97938931298,305
1910,"AUSTRIA",3290.37314786816,305
1911,"AUSTRIA",3365.21322537112,305
1912,"AUSTRIA",3505.09443783462,305
1913,"AUSTRIA",3465.49431062509,305
1914,"AUSTRIA",2875.62952856723,305
1915,"AUSTRIA",2652.9919834659,305
1916,"AUSTRIA",2627.59189952904,305
1917,"AUSTRIA",2586.30041056953,305
1918,"AUSTRIA",2554.81386311028,305
1919,"AUSTRIA",2258.9981975968,305
1920,"AUSTRIA",2412.31045701007,305
1921,"AUSTRIA",2650.1360701107,305
1922,"AUSTRIA",2877.48943014706,305
1923,"AUSTRIA",2842.21962402568,305
1924,"AUSTRIA",3162.77583053947,305
1925,"AUSTRIA",3366.93938012762,305
1926,"AUSTRIA",3413.05633802817,305
1927,"AUSTRIA",3505.43409331119,305
1928,"AUSTRIA",3657.26870389884,305
1929,"AUSTRIA",3698.52956182473,305
1930,"AUSTRIA",3585.71543985637,305
1931,"AUSTRIA",3287.68680089485,305
1932,"AUSTRIA",2939.65695167286,305
1933,"AUSTRIA",2833.17002668248,305
1934,"AUSTRIA",2851.58609467456,305
1935,"AUSTRIA",2906.66144061529,305
1936,"AUSTRIA",2994.7044983723,305
1937,"AUSTRIA",3155.7304219097,305
1938,"AUSTRIA",3559.49577965349,305
1939,"AUSTRIA",4095.90590710958,305
1940,"AUSTRIA",3959.21431767338,305
1941,"AUSTRIA",4217.35552260934,305
1942,"AUSTRIA",3982.83237505529,305
